127.0.0.1 - - [24/Jan/2020:11:36:18 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:37:00 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:37:08 +0530] "GET /forestmanagementrest/getland HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:39:52 +0530] "GET /forestmanagementrest/getland HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:40:10 +0530] "OPTIONS /forestmanagementrest/updateland HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:40:10 +0530] "POST /forestmanagementrest/updateland HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:40:10 +0530] "GET /forestmanagementrest/getland HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:40:28 +0530] "POST /forestmanagementrest/updateland HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:40:28 +0530] "GET /forestmanagementrest/getland HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:40:34 +0530] "GET /forestmanagementrest/listofcontract HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:41:03 +0530] "OPTIONS /forestmanagementrest/addaccount HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:41:03 +0530] "POST /forestmanagementrest/addaccount HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:42:10 +0530] "OPTIONS /forestmanagementrest/auth HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:42:10 +0530] "POST /forestmanagementrest/auth HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:42:15 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:42:42 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:42:51 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:43:07 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:43:23 +0530] "POST /forestmanagementrest/addaccount HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:43:25 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [24/Jan/2020:11:43:38 +0530] "GET /forestmanagementrest/getlistaccount HTTP/1.1" 200 385
